"","MAG","time_0","time_168","time_24","time_3","time_48","time_72","max_time","strategy_broad"
"158","H1-18-all-fractions_metab_conc_37.Gemmatimonadetes_69_16",0,0.438095238095238,0.634920634920635,0.423076923076923,0.72972972972973,0.675675675675676,"48","Middle Responders"
"159","H1-18-all-fractions_metab_conc_47.Burkholderiales_71_15",0,0.461538461538462,0.388888888888889,0.230769230769231,0.391304347826087,0.416666666666667,"168","Late Responders"
"160","H1-18-all-fractions_metab_conc_61.Actinobacteria_70_18",0,-0.230769230769231,0.0454545454545455,0.423076923076923,0,-0.0909090909090909,"3","Early Responders"
"161","H1-18-all-fractions_metab_conc_86.Conexibacter_woesei_72_14",0,0.0333333333333333,0.208333333333333,0.0666666666666667,0.307692307692308,0.115384615384615,"48","Middle Responders"
"162","H1-18-all-fractions_metab_maxb_101.Bacteria_63_9",0,0.147540983606557,0.0666666666666667,-0.137931034482759,0.128205128205128,0.175,"72","Middle Responders"
"163","H2-16-all-fractions_metab_56.Actinobacteria_73_59",0,0,0.125,0.25,0.0625,0,"3","Early Responders"
"164","H2-16-all-fractions_metab_conc_101.Burkholderiales_63_22",0,0.0616621983914209,0.399159663865546,0.386740331491713,0.113074204946996,0.157342657342657,"24","Middle Responders"
"165","H2-16-all-fractions_metab_conc_131.Actinobacteria_71_27",0,-0.181818181818182,0,0.136363636363636,0,-0.142857142857143,"3","Early Responders"
"166","H2-16-all-fractions_metab_conc_42.Caulobacterales_70_17",0,0.45,0.2,0.15,0.5,0.3125,"48","Middle Responders"
"167","H2-16-all-fractions_metab_conc_5.Streptomyces_sviceus_71_22",0,0.193625498007968,-0.153427638737758,-0.188311688311688,0.00576368876080691,0.165057915057915,"168","Late Responders"
"168","H2-16-all-fractions_metab_conc_77.Actinobacteria_71_48",0,0.212121212121212,0.166666666666667,0.03125,0.24,0.208333333333333,"48","Middle Responders"
"169","H2-16-all-fractions_metab_conc_97.Actinobacteria_72_48",0,0.0526315789473684,0.0909090909090909,0,0.25,0.111111111111111,"48","Middle Responders"
